total_claim_amount,incident_severity,age,comments
73370,1,49,Check language consistency.
86790,1,29,This is a sample comment.
49800,0,39,Another example of text data.
77440,0,38,
42900,2,48,Validating text fields with GPT-4.
53820,0,26,Check language consistency.
57330,1,46,This is a sample comment.
53370,1,24,Another example of text data.
62920,1,29,
61600,2,24,Validating text fields with GPT-4.
74160,2,30,Check language consistency.
80100,2,38,This is a sample comment.
6560,3,48,Another example of text data.
58800,2,34,
53730,1,38,Validating text fields with GPT-4.
60600,2,60,Check language consistency.
35750,2,48,This is a sample comment.
42840,2,27,Another example of text data.
87960,0,39,
47800,1,41,Validating text fields with GPT-4.
3840,3,43,Check language consistency.
77000,2,43,This is a sample comment.
88110,2,26,Another example of text data.
47740,1,42,
58960,2,30,Validating text fields with GPT-4.
2160,1,46,Check language consistency.
6890,3,26,This is a sample comment.
78870,0,45,Another example of text data.
2700,3,47,
75960,2,54,Validating text fields with GPT-4.
75570,0,34,Check language consistency.
90240,1,48,This is a sample comment.
80960,0,53,Another example of text data.
79080,2,38,
6820,1,49,Validating text fields with GPT-4.
62590,2,42,Check language consistency.
52400,0,23,This is a sample comment.
63580,0,46,Another example of text data.
61400,1,55,
4700,1,63,Validating text fields with GPT-4.
74140,2,44,Check language consistency.
83160,0,30,This is a sample comment.
10790,3,41,Another example of text data.
48070,0,31,
51030,1,25,Validating text fields with GPT-4.
43280,1,40,Check language consistency.
76400,0,29,This is a sample comment.
75460,2,43,Another example of text data.
69000,0,50,
8640,1,38,Validating text fields with GPT-4.
67210,1,29,Check language consistency.
42500,2,37,This is a sample comment.
86400,1,53,Another example of text data.
4620,1,51,
6930,3,53,Validating text fields with GPT-4.
41700,1,40,Check language consistency.
77330,0,51,This is a sample comment.
4950,3,35,Another example of text data.
5160,1,26,
24570,2,35,Validating text fields with GPT-4.
53680,1,38,Check language consistency.
42900,2,49,This is a sample comment.
84100,1,41,Another example of text data.
61560,2,27,
44240,1,39,Validating text fields with GPT-4.
57700,1,33,Check language consistency.
108030,1,50,This is a sample comment.
54300,1,30,Another example of text data.
32280,0,54,
84600,2,42,Validating text fields with GPT-4.
69700,2,35,Check language consistency.
36400,2,33,This is a sample comment.
37520,1,39,Another example of text data.
79090,0,33,
67770,0,54,Validating text fields with GPT-4.
47400,2,32,Check language consistency.
71100,2,40,This is a sample comment.
69400,1,46,Another example of text data.
55000,0,39,
51090,2,52,Validating text fields with GPT-4.
64200,0,34,Check language consistency.
67320,2,45,This is a sample comment.
76120,0,31,Another example of text data.
85020,1,28,
68090,1,41,Validating text fields with GPT-4.
6030,3,27,Check language consistency.
5100,1,35,This is a sample comment.
4590,3,30,Another example of text data.
72400,0,59,
70900,0,64,Validating text fields with GPT-4.
65100,2,25,Check language consistency.
64260,2,40,This is a sample comment.
79970,0,43,Another example of text data.
56610,2,41,
84590,0,30,Validating text fields with GPT-4.
66780,0,38,Check language consistency.
58500,0,36,This is a sample comment.
5000,3,41,Another example of text data.
5000,3,29,
54450,0,41,Validating text fields with GPT-4.
61920,0,38,Check language consistency.
43700,1,29,This is a sample comment.
64080,1,31,Another example of text data.
55000,2,35,
4400,3,27,Validating text fields with GPT-4.
71640,1,27,Check language consistency.
61740,1,44,This is a sample comment.
57500,2,27,Another example of text data.
8700,1,39,
77100,2,46,Validating text fields with GPT-4.
59400,1,57,Check language consistency.
54890,1,46,This is a sample comment.
74030,1,30,Another example of text data.
61490,2,42,
79560,1,27,Validating text fields with GPT-4.
4900,1,33,Check language consistency.
77770,2,34,This is a sample comment.
74700,0,43,Another example of text data.
40600,1,26,
45270,2,28,Validating text fields with GPT-4.
47080,1,36,Check language consistency.
40700,1,57,This is a sample comment.
34650,1,27,Another example of text data.
3200,3,28,
78980,0,42,Validating text fields with GPT-4.
6160,1,31,Check language consistency.
85250,0,60,This is a sample comment.
72840,0,50,Another example of text data.
6050,3,40,
87890,0,39,Validating text fields with GPT-4.
60500,2,47,Check language consistency.
88220,1,35,This is a sample comment.
53680,2,37,Another example of text data.
53800,1,45,
54360,0,29,Validating text fields with GPT-4.
54340,0,35,Check language consistency.
2860,3,35,This is a sample comment.
5490,1,28,Another example of text data.
7370,3,45,
50800,0,34,Validating text fields with GPT-4.
41520,1,48,Check language consistency.
89650,2,38,This is a sample comment.
39690,2,55,Another example of text data.
62260,0,32,
51920,0,38,Validating text fields with GPT-4.
53460,1,40,Check language consistency.
57100,2,43,This is a sample comment.
77440,2,36,Another example of text data.
68300,1,40,
5060,3,32,Validating text fields with GPT-4.
59400,2,32,Check language consistency.
69930,0,31,This is a sample comment.
77700,1,27,Another example of text data.
68750,0,54,
91080,1,29,Validating text fields with GPT-4.
48360,1,20,Check language consistency.
95000,0,34,This is a sample comment.
3900,3,32,Another example of text data.
59400,1,39,
60210,1,43,Validating text fields with GPT-4.
43600,1,32,Check language consistency.
62800,2,57,This is a sample comment.
59500,0,48,Another example of text data.
53460,2,37,
41690,2,33,Validating text fields with GPT-4.
63100,1,46,Check language consistency.
62880,2,60,This is a sample comment.
75400,0,51,Another example of text data.
46200,2,40,
58500,0,47,Validating text fields with GPT-4.
66240,0,57,Check language consistency.
65440,2,36,This is a sample comment.
64200,1,43,Another example of text data.
32320,1,25,
33480,0,28,Validating text fields with GPT-4.
4320,3,38,Check language consistency.
4200,3,29,This is a sample comment.
57970,1,29,Another example of text data.
4320,3,31,
69300,1,45,Validating text fields with GPT-4.
32480,1,30,Check language consistency.
60480,2,38,This is a sample comment.
2640,3,38,Another example of text data.
6050,3,27,
42700,2,43,Validating text fields with GPT-4.
40260,0,47,Check language consistency.
50000,0,50,This is a sample comment.
3840,3,35,Another example of text data.
95900,1,41,
56160,1,47,Validating text fields with GPT-4.
63030,0,42,Check language consistency.
63470,1,41,This is a sample comment.
44440,0,38,Another example of text data.
6600,1,35,
77200,1,36,Validating text fields with GPT-4.
57000,2,30,Check language consistency.
2700,3,45,This is a sample comment.
47300,2,36,Another example of text data.
55110,0,37,
4320,3,31,Validating text fields with GPT-4.
68760,2,38,Check language consistency.
74400,0,31,This is a sample comment.
35300,0,33,Another example of text data.
2640,1,57,
60190,2,41,Validating text fields with GPT-4.
41580,0,39,Check language consistency.
58500,1,45,This is a sample comment.
79320,1,43,Another example of text data.
82610,1,33,
78600,2,41,Validating text fields with GPT-4.
51390,1,46,Check language consistency.
70200,0,44,This is a sample comment.
4900,1,30,Another example of text data.
66480,0,62,
50380,0,23,Validating text fields with GPT-4.
64350,0,61,Check language consistency.
55400,0,29,This is a sample comment.
49900,2,28,Another example of text data.
74880,1,28,
105820,1,44,Validating text fields with GPT-4.
7150,3,43,Check language consistency.
55800,2,58,This is a sample comment.
5830,3,34,Another example of text data.
85900,0,41,
7110,1,29,Validating text fields with GPT-4.
36960,2,43,Check language consistency.
64400,1,39,This is a sample comment.
1920,1,43,Another example of text data.
86130,0,22,
82170,0,32,Validating text fields with GPT-4.
50300,0,41,Check language consistency.
44200,0,31,This is a sample comment.
66660,0,43,Another example of text data.
78320,2,26,
105040,2,34,Validating text fields with GPT-4.
50700,1,43,Check language consistency.
51210,2,45,This is a sample comment.
51840,2,48,Another example of text data.
52800,2,33,
55200,1,42,Validating text fields with GPT-4.
9100,1,34,Check language consistency.
67600,1,51,This is a sample comment.
40800,1,33,Another example of text data.
84500,0,50,
71610,0,39,Validating text fields with GPT-4.
60600,0,55,Check language consistency.
81240,0,41,This is a sample comment.
29300,2,39,Another example of text data.
76450,2,31,
49400,0,44,Validating text fields with GPT-4.
90530,2,38,Check language consistency.
8030,1,31,This is a sample comment.
63900,1,40,Another example of text data.
38640,1,55,
41490,2,58,Validating text fields with GPT-4.
79090,1,35,Check language consistency.
87900,0,35,This is a sample comment.
53400,2,32,Another example of text data.
52030,2,36,
82060,1,60,Validating text fields with GPT-4.
48360,1,35,Check language consistency.
52290,1,31,This is a sample comment.
68200,0,57,Another example of text data.
60750,0,43,
65560,0,30,Validating text fields with GPT-4.
70290,1,50,Check language consistency.
45000,2,37,This is a sample comment.
61800,2,39,Another example of text data.
64570,0,46,
70500,1,61,Validating text fields with GPT-4.
57900,2,37,Check language consistency.
57860,1,46,This is a sample comment.
37800,1,39,Another example of text data.
63300,2,37,
44200,2,33,Validating text fields with GPT-4.
31680,1,28,Check language consistency.
100,3,32,This is a sample comment.
56340,1,61,Another example of text data.
69740,2,40,
60480,2,38,Validating text fields with GPT-4.
80880,1,61,Check language consistency.
49390,2,61,This is a sample comment.
69360,1,29,Another example of text data.
3740,1,41,
5060,3,33,Validating text fields with GPT-4.
35860,2,48,Check language consistency.
50050,0,40,This is a sample comment.
59070,1,27,Another example of text data.
28440,1,30,
45540,0,34,Validating text fields with GPT-4.
38700,1,34,Check language consistency.
5830,3,39,This is a sample comment.
57240,2,32,Another example of text data.
46200,2,39,
57700,2,32,Validating text fields with GPT-4.
56160,1,48,Check language consistency.
44400,2,47,This is a sample comment.
92730,0,56,Another example of text data.
30700,1,33,
56600,0,24,Validating text fields with GPT-4.
3960,3,24,Check language consistency.
34800,1,30,This is a sample comment.
79500,1,36,Another example of text data.
56000,2,34,
73260,1,29,Validating text fields with GPT-4.
4950,3,46,Check language consistency.
48000,1,42,This is a sample comment.
52200,0,37,Another example of text data.
73800,1,38,
78200,2,34,Validating text fields with GPT-4.
55200,0,33,Check language consistency.
57060,2,43,This is a sample comment.
4680,1,30,Another example of text data.
53100,1,56,
3520,1,48,Validating text fields with GPT-4.
72900,2,25,Check language consistency.
70700,2,38,This is a sample comment.
60170,1,30,Another example of text data.
74800,0,42,
4100,3,41,Validating text fields with GPT-4.
61490,1,47,Check language consistency.
7200,3,29,This is a sample comment.
45100,1,34,Another example of text data.
66660,1,53,
76400,0,41,Validating text fields with GPT-4.
58300,2,37,Check language consistency.
57310,2,49,This is a sample comment.
53100,1,32,Another example of text data.
74700,2,24,
60500,0,28,Validating text fields with GPT-4.
84920,2,26,Check language consistency.
61050,2,36,This is a sample comment.
69080,0,26,Another example of text data.
4560,1,46,
67800,2,28,Validating text fields with GPT-4.
5600,1,32,Check language consistency.
9000,1,55,This is a sample comment.
85320,2,43,Another example of text data.
5940,3,24,
51370,0,34,Validating text fields with GPT-4.
51600,0,43,Check language consistency.
5400,3,44,This is a sample comment.
48870,1,39,Another example of text data.
5590,1,44,
54960,0,48,Validating text fields with GPT-4.
39800,1,47,Check language consistency.
56160,0,37,This is a sample comment.
52700,2,42,Another example of text data.
68580,1,43,
90860,0,60,Validating text fields with GPT-4.
5700,3,53,Check language consistency.
94930,2,21,This is a sample comment.
46800,0,43,Another example of text data.
56320,2,47,
83490,1,46,Validating text fields with GPT-4.
57900,2,36,Check language consistency.
49410,2,36,This is a sample comment.
66200,1,45,Another example of text data.
64080,1,46,
42500,1,43,Validating text fields with GPT-4.
48950,2,30,Check language consistency.
58850,1,42,This is a sample comment.
82400,1,40,Another example of text data.
54240,1,44,
74200,1,26,Validating text fields with GPT-4.
47430,2,53,Check language consistency.
68200,0,43,This is a sample comment.
63900,1,33,Another example of text data.
59300,2,39,
66900,1,44,Validating text fields with GPT-4.
40810,0,27,Check language consistency.
75400,2,43,This is a sample comment.
4200,1,34,Another example of text data.
52650,0,45,
42240,0,49,Validating text fields with GPT-4.
59490,1,39,Check language consistency.
44200,0,37,This is a sample comment.
7700,3,39,Another example of text data.
61440,2,57,
54400,0,37,Validating text fields with GPT-4.
58560,2,47,Check language consistency.
67300,0,34,This is a sample comment.
36740,0,55,Another example of text data.
85690,2,30,
34160,0,31,Validating text fields with GPT-4.
61320,1,48,Check language consistency.
79680,2,45,This is a sample comment.
61740,2,30,Another example of text data.
6400,1,55,
60600,0,55,Validating text fields with GPT-4.
56320,0,38,Check language consistency.
52250,2,34,This is a sample comment.
53900,2,60,Another example of text data.
2640,3,35,
8970,1,33,Validating text fields with GPT-4.
6000,1,31,Check language consistency.
55200,0,38,This is a sample comment.
7260,3,45,Another example of text data.
64680,1,39,
59200,0,43,Validating text fields with GPT-4.
4700,1,34,Check language consistency.
69400,2,33,This is a sample comment.
40500,2,21,Another example of text data.
60000,1,28,
67320,1,30,Validating text fields with GPT-4.
75690,2,27,Check language consistency.
64300,0,31,This is a sample comment.
64400,0,43,Another example of text data.
97080,1,53,
5500,1,44,Validating text fields with GPT-4.
30700,2,38,Check language consistency.
33480,1,48,This is a sample comment.
65430,2,26,Another example of text data.
42680,0,36,
87780,1,45,Validating text fields with GPT-4.
72800,0,36,Check language consistency.
71190,0,37,This is a sample comment.
3600,3,38,Another example of text data.
62640,0,41,
69630,1,36,Validating text fields with GPT-4.
76010,1,33,Check language consistency.
44220,2,40,This is a sample comment.
57200,1,38,Another example of text data.
3080,1,35,
75790,2,31,Validating text fields with GPT-4.
32670,1,30,Check language consistency.
3870,1,46,This is a sample comment.
91520,2,38,Another example of text data.
74690,0,32,
4620,3,30,Validating text fields with GPT-4.
55000,0,32,Check language consistency.
59400,0,48,This is a sample comment.
55260,2,34,Another example of text data.
51400,1,44,
48780,1,37,Validating text fields with GPT-4.
52380,0,31,Check language consistency.
74360,2,34,This is a sample comment.
53400,1,40,Another example of text data.
71800,2,59,
68240,0,31,Validating text fields with GPT-4.
61050,0,45,Check language consistency.
5590,1,47,This is a sample comment.
46860,0,48,Another example of text data.
4290,1,31,
78500,1,57,Validating text fields with GPT-4.
70830,2,42,Check language consistency.
68040,2,56,This is a sample comment.
63600,0,32,Another example of text data.
43560,1,63,
60840,2,31,Validating text fields with GPT-4.
68160,2,55,Check language consistency.
5170,1,27,This is a sample comment.
57700,2,37,Another example of text data.
89520,2,46,
4620,1,43,Validating text fields with GPT-4.
45180,1,39,Check language consistency.
45100,2,38,This is a sample comment.
83160,2,32,Another example of text data.
86130,1,42,
48000,0,25,Validating text fields with GPT-4.
3300,1,35,Check language consistency.
57200,1,34,This is a sample comment.
7590,3,35,Another example of text data.
80080,2,37,
4800,1,30,Validating text fields with GPT-4.
3900,1,37,Check language consistency.
90400,1,26,This is a sample comment.
62900,1,29,Another example of text data.
54200,0,32,
51800,0,50,Validating text fields with GPT-4.
6600,3,55,Check language consistency.
74140,2,35,This is a sample comment.
67800,2,25,Another example of text data.
55400,0,44,
49100,0,37,Validating text fields with GPT-4.
98280,0,41,Check language consistency.
66550,2,40,This is a sample comment.
70400,0,33,Another example of text data.
53280,0,42,
84590,2,32,Validating text fields with GPT-4.
54560,2,37,Check language consistency.
82170,1,40,This is a sample comment.
61100,2,44,Another example of text data.
51900,1,43,
3440,3,39,Validating text fields with GPT-4.
51390,2,36,Check language consistency.
76900,0,32,This is a sample comment.
77000,1,42,Another example of text data.
60320,0,39,
60700,1,46,Validating text fields with GPT-4.
53280,2,21,Check language consistency.
34290,1,43,This is a sample comment.
46980,2,44,Another example of text data.
36700,0,26,
60200,2,28,Validating text fields with GPT-4.
6480,1,30,Check language consistency.
87200,1,38,This is a sample comment.
108480,0,41,Another example of text data.
67500,1,34,
46980,0,62,Validating text fields with GPT-4.
5060,1,60,Check language consistency.
